DateID,FullDate,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,GermanDayNameOfWeek,DayNameofWeekAbbr,MonthNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,GermanMonthName,MonthNameAbbr,CalendarYear,CalendarQuarter,CalendarSemester
20010520,2001-05-20,7,Sunday,Domingo,Dimanche,Sonntag,Sun,5,May,Mayo,Mai,Mai,May,2001,2,1
20010521,2001-05-21,1,Monday,Lunes,Lundi,Montag,Mon,5,May,Mayo,Mai,Mai,May,2001,2,1
20010522,2001-05-22,2,Tuesday,Martes,Mardi,Dienstag,Tue,5,May,Mayo,Mai,Mai,May,2001,2,1
20010523,2001-05-23,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,5,May,Mayo,Mai,Mai,May,2001,2,1
20010524,2001-05-24,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,5,May,Mayo,Mai,Mai,May,2001,2,1
20010525,2001-05-25,5,Friday,Viernes,Vendredi,Freitag,Fri,5,May,Mayo,Mai,Mai,May,2001,2,1
20010526,2001-05-26,6,Saturday,Sábado,Samedi,Samstag,Sat,5,May,Mayo,Mai,Mai,May,2001,2,1
20010527,2001-05-27,7,Sunday,Domingo,Dimanche,Sonntag,Sun,5,May,Mayo,Mai,Mai,May,2001,2,1
20010528,2001-05-28,1,Monday,Lunes,Lundi,Montag,Mon,5,May,Mayo,Mai,Mai,May,2001,2,1
20010529,2001-05-29,2,Tuesday,Martes,Mardi,Dienstag,Tue,5,May,Mayo,Mai,Mai,May,2001,2,1
20010530,2001-05-30,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,5,May,Mayo,Mai,Mai,May,2001,2,1
20010531,2001-05-31,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,5,May,Mayo,Mai,Mai,May,2001,2,1
20010601,2001-06-01,5,Friday,Viernes,Vendredi,Freitag,Fri,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010602,2001-06-02,6,Saturday,Sábado,Samedi,Samstag,Sat,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010603,2001-06-03,7,Sunday,Domingo,Dimanche,Sonntag,Sun,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010604,2001-06-04,1,Monday,Lunes,Lundi,Montag,Mon,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010605,2001-06-05,2,Tuesday,Martes,Mardi,Dienstag,Tue,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010606,2001-06-06,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010607,2001-06-07,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010608,2001-06-08,5,Friday,Viernes,Vendredi,Freitag,Fri,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010609,2001-06-09,6,Saturday,Sábado,Samedi,Samstag,Sat,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010610,2001-06-10,7,Sunday,Domingo,Dimanche,Sonntag,Sun,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010611,2001-06-11,1,Monday,Lunes,Lundi,Montag,Mon,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010612,2001-06-12,2,Tuesday,Martes,Mardi,Dienstag,Tue,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010613,2001-06-13,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010614,2001-06-14,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010615,2001-06-15,5,Friday,Viernes,Vendredi,Freitag,Fri,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010616,2001-06-16,6,Saturday,Sábado,Samedi,Samstag,Sat,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010617,2001-06-17,7,Sunday,Domingo,Dimanche,Sonntag,Sun,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010618,2001-06-18,1,Monday,Lunes,Lundi,Montag,Mon,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010619,2001-06-19,2,Tuesday,Martes,Mardi,Dienstag,Tue,6,June,Junio,Juin,Juni,Jun,2001,2,1
